Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Days Since First Order,lag_sales_1,lag_profit_1,rolling_sales_mean_3,rolling_profit_mean_3,cohort,churn
621,CA-2017-117947,2017-08-18,2017-08-23,Second Class,NG-18355,Nat Gilpin,Corporate,United States,New York City,New York,10011,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",88.02,3,0.0,27.2862,703,9.94,3.0814,46.14666666666667,15.384933333333334,23,1
671,US-2017-106663,2017-06-09,2017-06-13,Standard Class,MO-17800,Meg O'Connel,Home Office,United States,Chicago,Illinois,60653,Central,FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",108.925,1,0.5,-71.8905,565,23.976,-14.3856,56.15366666666667,-24.728566666666666,19,1
830,CA-2017-129462,2017-06-16,2017-06-21,Second Class,JE-15745,Joel Eaton,Consumer,United States,Florence,Kentucky,41042,South,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",301.96,2,0.0,90.588,933,396.802,-11.3372,239.354,21.59193333333333,31,0
916,US-2014-141215,2014-06-15,2014-06-21,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207,Central,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",99.918,2,0.3,-18.5562,0,218.352,-24.5646,182.87400000000002,-7.655,0,0
917,US-2014-141215,2014-06-15,2014-06-21,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207,Central,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,797.944,4,0.3,-56.996,0,99.918,-18.5562,372.0713333333333,-33.37226666666667,0,0
947,US-2015-140200,2015-07-26,2015-07-28,First Class,CA-12775,Cynthia Arntzen,Consumer,United States,Mesa,Arizona,85204,West,FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,393.165,3,0.5,-204.4458,393,1228.465,0.0,544.9193333333333,-66.89049999999999,13,1
950,US-2017-110576,2017-11-28,2017-12-02,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32,12,0.4,-619.596,0,1007.232,75.5424,1196.3466666666666,-185.65526666666665,0,0
1046,CA-2017-152702,2017-10-12,2017-10-16,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Rockford,Illinois,61107,Central,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",254.604,14,0.3,-18.186,655,212.058,-15.147,333.0204,-26.7698,22,0
1178,CA-2016-113621,2016-12-01,2016-12-05,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Rockville,Maryland,20852,East,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,172.5,2,0.0,51.75,736,301.96,90.588,290.4206666666667,43.66693333333333,25,0
1195,US-2015-130519,2015-09-15,2015-09-15,Same Day,NG-18355,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,15.712,4,0.2,2.5532,0,88.02,27.2862,37.89066666666667,10.9736,0,1
1197,US-2015-130519,2015-09-15,2015-09-15,Same Day,NG-18355,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South,FUR-FU-10003394,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",55.968,1,0.2,-2.0988,0,15.712,2.5532,53.23333333333333,9.246866666666667,0,1
1199,CA-2016-130946,2016-04-08,2016-04-12,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041,Central,FUR-CH-10004540,Furniture,Chairs,Global Chrome Stack Chair,95.984,4,0.3,-4.1136,543,102.36,-3.8385,498.9646666666667,101.2333,18,0
1230,CA-2017-100013,2017-11-06,2017-11-11,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Los Angeles,California,90045,West,FUR-FU-10001424,Furniture,Furnishings,Dax Clear Box Frame,8.73,1,0.0,2.9682,1120,95.984,-4.1136,69.02466666666666,-1.6613,37,0
1238,CA-2016-144344,2016-10-28,2016-10-28,Same Day,PG-18820,Patrick Gardner,Consumer,United States,Boynton Beach,Florida,33437,South,FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",165.048,3,0.2,41.262,57,63.968,0.0,92.32266666666668,18.3494,1,1
1248,CA-2014-168494,2014-12-12,2014-12-14,Second Class,NP-18700,Nora Preis,Consumer,United States,Fresno,California,93727,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,254.9745,3,0.15,11.9988,0,3610.848,135.4068,1543.5035,80.9972,0,1
1314,US-2016-134488,2016-09-24,2016-10-01,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Columbus,Ohio,43229,East,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,155.372,2,0.3,-13.3176,19,242.94,29.1528,136.84400000000002,6.500399999999999,0,1
1355,CA-2017-162978,2017-05-04,2017-05-09,Standard Class,LW-16990,Lindsay Williams,Corporate,United States,San Francisco,California,94109,West,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,300.904,1,0.2,11.2839,364,31.984,1.999,218.15199999999996,13.8067,12,0
1412,CA-2016-136329,2016-07-09,2016-07-13,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,10035,East,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,408.006,2,0.1,72.5344,166,77.6,38.024,189.46866666666665,40.3028,6,1
1413,CA-2016-136329,2016-07-09,2016-07-13,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,10035,East,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",165.28,4,0.0,14.8752,166,408.006,72.5344,216.962,41.81120000000001,6,1
1439,CA-2015-139731,2015-10-15,2015-10-15,Same Day,JE-15745,Joel Eaton,Consumer,United States,Amarillo,Texas,79109,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2453.43,5,0.3,-350.49,323,172.5,51.75,975.9633333333333,-69.384,11,0
1571,US-2014-157385,2014-11-23,2014-11-25,First Class,SC-20095,Sanjit Chand,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,603.92,5,0.2,-67.941,284,69.3,22.869,304.9293333333333,-8.984800000000002,9,1
1574,US-2014-157385,2014-11-23,2014-11-25,First Class,SC-20095,Sanjit Chand,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,381.44,2,0.2,23.84,284,603.92,-67.941,351.55333333333334,-7.077333333333335,9,1
1584,CA-2015-131338,2015-08-09,2015-08-12,First Class,NP-18325,Naresj Patel,Consumer,United States,New York City,New York,10024,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,414,382.806,-153.1224,177.952,-40.0718,14,1
1585,CA-2015-131338,2015-08-09,2015-08-12,First Class,NP-18325,Naresj Patel,Consumer,United States,New York City,New York,10024,East,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,414,47.04,18.3456,145.33533333333332,-43.940000000000005,14,1
1658,CA-2014-127159,2014-05-12,2014-05-15,First Class,HL-15040,Hunter Lopez,Consumer,United States,Milwaukee,Wisconsin,53209,Central,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",34.79,7,0.0,10.7849,112,1067.94,224.2674,380.4433333333333,82.21076666666667,4,1
1751,CA-2015-139094,2015-11-22,2015-11-27,Standard Class,MO-17800,Meg O'Connel,Home Office,United States,San Antonio,Texas,78207,Central,FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,206.962,2,0.3,-32.5226,0,108.925,-71.8905,113.28766666666667,-39.59956666666667,0,1
1815,CA-2015-131597,2015-09-14,2015-09-18,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Los Angeles,California,90045,West,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,170.136,3,0.2,-8.5068,0,17.024,1.7024,109.51066666666668,-18.424933333333332,0,0
1827,CA-2016-167507,2016-12-22,2016-12-28,Standard Class,SA-20830,Sue Ann Reed,Consumer,United States,Redmond,Oregon,97756,West,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",22.784,1,0.2,4.8416,606,11.84,3.108,122.52133333333335,29.28506666666667,20,1
1833,CA-2015-131422,2015-11-05,2015-11-09,Standard Class,GB-14530,George Bell,Corporate,United States,Monroe,North Carolina,28110,South,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,207.0,3,0.2,25.875,55,211.96,42.392,204.71466666666666,29.261800000000004,2,1
1890,CA-2014-142587,2014-10-21,2014-10-22,First Class,TB-21520,Tracy Blumstein,Consumer,United States,Fairfield,Ohio,45014,East,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",409.59,3,0.4,-122.877,0,124.2,15.525,1205.74,-590.8014000000001,0,1
1934,CA-2017-161200,2017-08-06,2017-08-10,Second Class,SV-20365,Seth Vernon,Consumer,United States,Lafayette,Louisiana,70506,South,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,15.4,5,0.0,7.392,1303,145.74,23.3184,57.02666666666667,11.263933333333334,43,1
1954,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1282.41,5,0.1,213.735,0,254.526,-93.3262,516.1586666666667,41.290266666666675,0,0
2054,CA-2015-142237,2015-07-11,2015-07-13,First Class,CK-12595,Clytie Kelty,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10003142,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",25.344,6,0.2,3.4848,197,341.488,-73.176,218.87733333333335,-11.1554,7,1
2070,CA-2015-133452,2015-04-13,2015-04-19,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Pomona,California,91767,West,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,710.832,3,0.2,-97.7394,182,8.73,2.9682,271.84866666666665,-32.9616,6,0
2093,CA-2014-145926,2014-11-17,2014-11-21,Standard Class,MP-17470,Mark Packer,Home Office,United States,Moorhead,Minnesota,56560,Central,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,479.9,5,0.0,81.583,232,626.352,46.9764,668.4626666666667,80.31713333333333,8,1
2182,CA-2016-128818,2016-05-07,2016-05-11,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,10009,East,FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,442.764,4,0.1,59.0352,58,176.784,-22.098,210.39866666666668,13.428666666666667,2,1
2185,CA-2016-128818,2016-05-07,2016-05-11,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,10009,East,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,63.68,8,0.0,28.0192,58,442.764,59.0352,227.74266666666665,21.652133333333335,2,1
2205,CA-2015-128860,2015-06-29,2015-07-05,Standard Class,SC-20725,Steven Cartwright,Consumer,United States,Lancaster,Pennsylvania,17602,East,FUR-FU-10001473,Furniture,Furnishings,"Eldon Executive Woodline II Desk Accessories, Mahogany",20.104,1,0.2,1.7591,391,515.88,113.4936,194.34133333333332,44.53276666666667,12,1
2257,CA-2016-164091,2016-09-17,2016-09-22,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Bangor,Maine,4401,East,FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",109.48,2,0.0,33.9388,872,124.11,52.1262,362.8433333333333,99.93333333333334,29,1
2276,CA-2014-157882,2014-10-03,2014-10-08,Second Class,AR-10405,Allen Rosenblatt,Corporate,United States,Los Angeles,California,90036,West,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3,0.2,13.7646,0,143.432,3.5858,584.736,-93.4448,0,1
2282,CA-2017-142622,2017-10-30,2017-11-02,First Class,JK-15625,Jim Karlsson,Consumer,United States,Seattle,Washington,98115,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,199.98,2,0.0,37.9962,1057,614.272,-23.0352,303.94,2.9543333333333344,34,0
2297,CA-2015-113145,2015-11-01,2015-11-05,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,New York City,New York,10011,East,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",259.7,5,0.0,106.477,246,389.696,43.8408,270.3213333333333,40.681133333333335,9,1
2304,CA-2017-157931,2017-09-17,2017-09-22,Second Class,MO-17800,Meg O'Connel,Home Office,United States,Roswell,Georgia,30076,South,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,723.92,4,0.0,188.2192,665,206.962,-32.5226,346.6023333333333,27.935366666666667,22,1
2306,CA-2016-115574,2016-12-23,2016-12-24,First Class,BP-11185,Ben Peterman,Corporate,United States,Chicago,Illinois,60623,Central,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",141.372,2,0.3,-14.1372,483,15.232,1.7136,207.79066666666665,13.3626,16,0
2348,CA-2016-159373,2016-03-13,2016-03-18,Standard Class,LT-17110,Liz Thompson,Consumer,United States,San Antonio,Texas,78207,Central,FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,557.585,5,0.3,0.0,651,22.2,9.102,309.57099999999997,14.664933333333332,21,1
2360,US-2014-148838,2014-03-17,2014-03-21,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.908,3,0.4,-122.7816,0,1071.576,-553.6476,1088.41,-374.6746333333333,0,1
2369,US-2016-129469,2016-09-23,2016-09-27,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Fairfield,Ohio,45014,East,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",532.704,6,0.2,-26.6352,831,797.944,-56.996,476.85533333333325,-34.06246666666667,27,0
2416,CA-2015-146087,2015-07-06,2015-07-11,Standard Class,PP-18955,Paul Prost,Home Office,United States,Holyoke,Massachusetts,1040,East,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,301.96,2,0.0,60.392,301,239.98,52.7956,186.92666666666665,40.1156,10,1
2507,CA-2014-143917,2014-07-25,2014-07-27,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,77.92,8,0.0,34.2848,0,4.044,-2.8308,86.39633333333332,-29.686333333333337,0,1
2537,CA-2015-168746,2015-01-27,2015-01-29,Second Class,SV-20365,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,181.986,2,0.3,-54.5958,381,15.4,7.392,114.37533333333333,-7.9617999999999975,12,1
2547,CA-2017-108070,2017-04-16,2017-04-20,Standard Class,JE-15745,Joel Eaton,Consumer,United States,San Jose,California,95123,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.833,1,0.15,-6.049,872,2453.43,-350.49,909.5876666666667,-101.59633333333333,29,0
2579,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0.0,30.7818,0,470.302,-87.3418,229.29533333333336,-30.890533333333337,0,1
2584,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0.0,4.4712,0,62.82,30.7818,181.84733333333335,-17.362933333333338,0,1
2634,US-2017-110604,2017-05-15,2017-05-20,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Seattle,Washington,98103,West,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,220.96,1,0.2,24.858,398,42.624,4.2624,101.18133333333333,15.434400000000002,13,1
2655,CA-2017-112515,2017-09-17,2017-09-21,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,Provo,Utah,84604,West,FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1292.94,3,0.0,77.5764,1065,545.88,70.9644,621.8733333333333,53.80160000000001,35,1
2703,CA-2014-145317,2014-03-18,2014-03-23,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",122.352,3,0.2,15.294,0,30.768,8.0766,226.52333333333334,18.3192,0,1
2738,CA-2015-115798,2015-11-13,2015-11-19,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Newark,Delaware,19711,East,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,299.97,3,0.0,56.9943,476,77.92,34.2848,127.31133333333332,29.482766666666663,16,1
2773,CA-2017-158967,2017-12-10,2017-12-12,First Class,BT-11680,Brian Thompson,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,19.104,3,0.2,5.7312,885,4.656,1.5714,33.78666666666666,11.810866666666668,29,0
2813,CA-2015-135685,2015-11-16,2015-11-18,Second Class,MP-18175,Mike Pelletier,Home Office,United States,Milwaukee,Wisconsin,53209,Central,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",214.11,3,0.0,36.3987,598,185.58,76.0878,201.22433333333333,43.09503333333333,20,0
2815,CA-2015-135685,2015-11-16,2015-11-18,Second Class,MP-18175,Mike Pelletier,Home Office,United States,Milwaukee,Wisconsin,53209,Central,FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55,3,0.0,111.1035,598,214.11,36.3987,351.08,74.53,20,0
2854,CA-2016-136371,2016-03-19,2016-03-21,Second Class,SV-20935,Susan Vittorini,Consumer,United States,Oceanside,New York,11572,East,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,0.0,6.9088,0,14.98,6.8908,102.78666666666668,-30.291133333333335,0,0
2941,CA-2017-155880,2017-03-25,2017-03-31,Standard Class,JD-16150,Justin Deggeller,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,90.99,1,0.0,14.5584,860,547.136,-68.392,218.98866666666666,-15.934933333333332,28,1
2942,CA-2017-155880,2017-03-25,2017-03-31,Standard Class,JD-16150,Justin Deggeller,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",1526.56,7,0.0,427.4368,860,90.99,14.5584,721.5619999999999,124.5344,28,1
2943,CA-2017-155880,2017-03-25,2017-03-31,Standard Class,JD-16150,Justin Deggeller,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",368.97,3,0.0,40.5867,860,1526.56,427.4368,662.1733333333333,160.86063333333334,28,1
2945,CA-2017-126242,2017-11-19,2017-11-24,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10002685,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",18.7,1,0.0,7.106,1070,7.168,0.9856,263.0493333333333,-4.572133333333333,35,0
2947,CA-2017-169859,2017-12-14,2017-12-18,Standard Class,MP-18175,Mike Pelletier,Home Office,United States,San Diego,California,92024,West,FUR-FU-10004963,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",26.25,3,0.0,11.025,1357,653.55,111.1035,297.96999999999997,52.8424,45,0
2966,CA-2017-137428,2017-12-16,2017-12-21,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,92054,West,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",18.96,2,0.0,7.584,1350,97.184,6.074,65.904,7.611466666666666,44,0
3016,US-2015-138919,2015-09-17,2015-09-21,Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,New York City,New York,10035,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",344.22,2,0.4,-103.266,0,238.56,26.2416,221.40133333333335,-28.7282,0,0
3018,US-2016-160528,2016-08-23,2016-08-30,Standard Class,MH-18115,Mick Hernandez,Home Office,United States,Pharr,Texas,78577,Central,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,22.608,3,0.6,-10.1736,0,43.872,11.5164,24.392,0.6150000000000002,0,1
3022,CA-2015-123568,2015-11-08,2015-11-14,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,West Jordan,Utah,84084,West,FUR-FU-10004090,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",66.69,3,0.0,22.0077,634,381.44,23.84,350.68333333333334,-7.364433333333335,21,1
3027,CA-2017-169054,2017-04-22,2017-04-26,Standard Class,MO-17800,Meg O'Connel,Home Office,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10001488,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",254.352,3,0.2,0.0,517,723.92,188.2192,395.078,51.89886666666666,17,1
3051,US-2017-148054,2017-10-06,2017-10-11,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Meridian,Idaho,83642,West,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,41.96,2,0.0,2.9372,777,544.008,40.8006,224.3126666666667,-1.6551333333333333,26,0
3099,CA-2017-135692,2017-04-27,2017-05-01,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Fort Worth,Texas,76106,Central,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,220.2656,4,0.32,-42.1096,97,207.846,2.3094,156.69053333333332,-9.6302,3,0
3140,CA-2017-164168,2017-11-12,2017-11-18,Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,Dallas,Texas,75081,Central,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",22.848,3,0.6,-17.7072,787,344.22,-103.266,201.876,-31.5772,26,0
3154,CA-2015-147830,2015-12-15,2015-12-18,First Class,NF-18385,Natalie Fritzler,Consumer,United States,Newark,Ohio,43055,East,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",262.864,7,0.2,69.0018,672,747.558,-96.1146,625.6073333333333,66.05040000000001,22,0
3157,CA-2015-139584,2015-08-24,2015-08-28,Standard Class,EM-13810,Eleni McCrary,Corporate,United States,New York City,New York,10009,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304,39,700.152,78.7671,777.7399999999999,-72.0759,1,1
